Family	Gene	Gene_species	Paralog	Paralog_species
OG0000000	FBpp0071280	dmel	FBpp0078649	dmel
OG0000000	FBpp0071280	dmel	FBpp0085250	dmel
OG0000000	FBpp0071280	dmel	FBpp0091051	dmel
OG0000000	FBpp0071280	dmel	FBpp0091053	dmel
OG0000000	FBpp0071280	dmel	FBpp0091056	dmel
OG0000000	FBpp0071280	dmel	FBpp0091058	dmel
OG0000000	FBpp0071280	dmel	FBpp0091061	dmel
OG0000000	FBpp0071280	dmel	FBpp0091064	dmel
OG0000000	FBpp0071280	dmel	FBpp0091067	dmel
OG0000000	FBpp0071280	dmel	FBpp0091070	dmel
OG0000000	FBpp0071280	dmel	FBpp0091073	dmel
OG0000000	FBpp0071280	dmel	FBpp0091076	dmel
OG0000000	FBpp0071280	dmel	FBpp0091079	dmel
OG0000000	FBpp0071280	dmel	FBpp0091082	dmel
OG0000000	FBpp0071280	dmel	FBpp0091085	dmel
OG0000000	FBpp0071280	dmel	FBpp0091088	dmel
OG0000000	FBpp0071280	dmel	FBpp0091091	dmel
OG0000000	FBpp0071280	dmel	FBpp0091094	dmel
OG0000000	FBpp0071280	dmel	FBpp0091097	dmel
OG0000000	FBpp0071280	dmel	FBpp0091100	dmel
OG0000000	FBpp0071280	dmel	FBpp0091103	dmel
OG0000000	FBpp0071280	dmel	FBpp0091106	dmel
OG0000000	FBpp0071280	dmel	FBpp0091109	dmel
OG0000000	FBpp0071280	dmel	FBpp0091112	dmel
OG0000000	FBpp0078649	dmel	FBpp0085250	dmel
OG0000000	FBpp0078649	dmel	FBpp0091051	dmel
OG0000000	FBpp0078649	dmel	FBpp0091053	dmel
OG0000000	FBpp0078649	dmel	FBpp0091056	dmel
OG0000000	FBpp0078649	dmel	FBpp0091058	dmel
OG0000000	FBpp0078649	dmel	FBpp0091061	dmel
OG0000000	FBpp0078649	dmel	FBpp0091064	dmel
OG0000000	FBpp0078649	dmel	FBpp0091067	dmel
OG0000000	FBpp0078649	dmel	FBpp0091070	dmel
OG0000000	FBpp0078649	dmel	FBpp0091073	dmel
OG0000000	FBpp0078649	dmel	FBpp0091076	dmel
OG0000000	FBpp0078649	dmel	FBpp0091079	dmel
OG0000000	FBpp0078649	dmel	FBpp0091082	dmel
OG0000000	FBpp0078649	dmel	FBpp0091085	dmel
OG0000000	FBpp0078649	dmel	FBpp0091088	dmel
OG0000000	FBpp0078649	dmel	FBpp0091091	dmel
OG0000000	FBpp0078649	dmel	FBpp0091094	dmel
OG0000000	FBpp0078649	dmel	FBpp0091097	dmel
OG0000000	FBpp0078649	dmel	FBpp0091100	dmel
OG0000000	FBpp0078649	dmel	FBpp0091103	dmel
OG0000000	FBpp0078649	dmel	FBpp0091106	dmel
OG0000000	FBpp0078649	dmel	FBpp0091109	dmel
OG0000000	FBpp0078649	dmel	FBpp0091112	dmel
OG0000000	FBpp0085250	dmel	FBpp0091051	dmel
OG0000000	FBpp0085250	dmel	FBpp0091053	dmel
OG0000000	FBpp0085250	dmel	FBpp0091056	dmel
OG0000000	FBpp0085250	dmel	FBpp0091058	dmel
OG0000000	FBpp0085250	dmel	FBpp0091061	dmel
OG0000000	FBpp0085250	dmel	FBpp0091064	dmel
OG0000000	FBpp0085250	dmel	FBpp0091067	dmel
OG0000000	FBpp0085250	dmel	FBpp0091070	dmel
OG0000000	FBpp0085250	dmel	FBpp0091073	dmel
OG0000000	FBpp0085250	dmel	FBpp0091076	dmel
